lp,RSPO,REGON,nip,Nazwa szkoły,Powiat,Gmina,Miejscowość,Ulica,Numer domu,tel.,email,Numer telefonu kontaktowego do organu prowadzącego,Adres e-mail do organu prowadzącego,Adres witryny internetowej organu prowadzącego (jeżeli nie posiada należy wpisać „nie posiada”),ORGAN regon,ORGAN nip,REGON szkoły,Numer szkoły w Rejestrze Szkół i Placówek Oświatowych (RSPO),Numer telefonu kontaktowego do szkoły,Adres kontaktowy e-mail do szkoły,Adres witryny internetowej szkoły (jeżeli nie posiada należy wpisać „nie posiada”),Imię dyr.,Nazwisko dyr.,Imię wice,Nazwisko wice,Dziewczęta w szkole w klasach IV - VIII,Chłopcy w szkole w klasach IV - VIII,suma,grupa
1,3208,370492918,6842205763,SZKOŁA PODSTAWOWA IM. BOHATERÓW MONTE CASSINO,krośnieński,Wojaszówka,Ustrobna,,1,,spustrobna@poczta.onet.pl,134385016,urzad@wojaszowka.pl,www.wojaszowka.pl,370440608,6842366213,370492918,3208,123123,1@mail.pl,spustrobna.edupage.org,Joanna,Filipowicz,brak,brak,37,42,79,mała
2,3692,180877166,0,NIEPUBLICZNA SZKOŁA PODSTAWOWA W RUSZELCZYCACH,przemyski,Krzywcza,Ruszelczyce,,59A,,spruszelczyce@op.pl,604414993,stowarzyszeniewruszelczycach@onet.pl,nie posiada,180861120,7952525506,180877166,3692,123124,2@mail.pl,Ruszelczyce.edupl,Halina,Szopa,brak,brak,9,14,23,mała
3,3750,1187288,6020129088,PUBLICZNA SZKOŁA PODSTAWOWA W DOMOSTAWIE,niżański,Jarocin,Domostawa,,79,,sp_domostawa@op.pl,158713141,poczta@gminajarocin.pl,http://www.jarocin.samorzad.pl,830409399,,1187288,3750,123125,3@mail.pl,http://spdomostawa.szkolnastrona.pl,Małgorzata,Pipka,brak,brak,37,41,78,mała
4,3773,180877315,6852051528,SPOŁECZNA SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W LIPNICY DOLNEJ,jasielski,Brzyska,Lipnica Dolna,,54,134457003,gimlipnica@interia.pl,134457003,gimlipnica@interia.pl,nie posiada,180850351,,180877315,3773,123126,4@mail.pl,zsslipnicadolna.pl,Urszula ,Świtalska,brak,brak,26,21,47,mała
5,5337,180880033,8132456965,PUBLICZNA SZKOŁA PODSTAWOWA SIÓSTR NAZARETANEK W RZESZOWIE IM. SIÓSTR MĘCZENNIC Z NOWOGRÓDKA,m. Rzeszów,M. Rzeszów,Rzeszów,ul. św. Jakuba,2,,szk.nazaretanek@o2.pl,126545734,sakretariat@nazaretanki.org,nazaretanki.org,6228572,6792527340,180880033,5337,123127,5@mail.pl,nazaretanki.szkola.pl,Katarzyna,Rybka,brak,brak,34,27,61,mała
6,5555,640060,8191280404,SZKOŁA PODSTAWOWA IM.KS.MJR.FRANCISZKA ŁUSZCZKI W LUBENI,rzeszowski,Lubenia,Lubenia,,100,,splubenia@wp.pl,178710199,zeas@lubenia.p,www.lubenia.pl,690582128,,640060,5555,123128,6@mail.pl,www.splubenia.edupage.org,Katarzyna,Leśniak,brak,brak,50,57,107,mała
7,5948,180881133,8172194307,SPOŁECZNA SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W GLINACH MAŁYCH,mielecki,Borowa,Gliny Małe,,99,,gmszkola@gmail.com,177790063,stowarzyszeniegm@gmail.com,zssglinymale.pl,180843760,8172172441,180881133,5948,123129,7@mail.pl,zssglinymale.pl,Ewelina,Marciak,brak,brak,22,25,47,mała
8,5970,252760,8132699538,SZKOŁA PODSTAWOWA NR 2,m. Rzeszów,M. Rzeszów,Rzeszów,ul. Aleksandra Kamińskiego,12,,sekretariat@sp2.resman.pl,178754588,edukacja@erzeszow.pl,https://bip.erzeszow.pl/483-wydzial-edukacji.html,690581353,,252760,5970,123130,8@mail.pl,www.sp2.rzeszow.pl,Rafał,Fudali,brak,brak,104,139,243,średnia
9,6059,1200801,6871442224,SZKOŁA PODSTAWOWA W CZASZYNIE,sanocki,Zagórz,Czaszyn,ul. Starowiejska,14,,spczaszyn@interia.pl,134622062,urzad@zagorz.pl,WWW.ZAGORZ.PL,370440778,,1200801,6059,123131,9@mail.pl,https://www.spczaszyn.zagorz.info/,Sylwia,Biernacka,brak,brak,33,34,67,mała
10,6060,1200824,6871447434,SZKOŁA PODSTAWOWA IM. GEN. TADEUSZA ROZWADOWSKIEGO W ŁUKOWEM,sanocki,Zagórz,Łukowe,,64,,lukowe@poczta.onet.pl,134622062,duluszczak@zagorz.pl,www.zagorz.pl,370440778,,1200824,6060,123132,10@mail.pl,www.splukowe.szkolnastrona.pl,Anna,Weiss,brak,brak,17,26,43,mała
11,6061,1200818,6871446908,SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W PORAŻU,sanocki,Zagórz,Poraż,ul. Szkolna,2,,sporaz@poczta.onet.pl,134622062,urzad@zagorz.pl,zagorz.pl,370440778,,1200818,6061,123133,11@mail.pl,www.spporaz.pl,Dorota,Janeczko,brak,brak,24,40,64,mała
12,6062,1200770,6871446920,SZKOŁA PODSTAWOWA IM. WINCENTEGO WITOSA W TARNAWIE DOLNEJ,sanocki,Zagórz,Tarnawa Dolna,,28,134620046,sptarnawa@wp.pl,134622062,urzad@zagorz.pl,https://www.zagorz.pl/,370440778,,1200770,6062,123134,12@mail.pl,http://sptarnawa.szkolnastrona.pl/,Melchior ,Nizińska,brak,brak,46,54,100,mała
13,6300,1131744,8131737202,SZKOŁA PODSTAWOWA NR 9,m. Rzeszów,M. Rzeszów,Rzeszów,ul. Miła,58,,sekretariat@sp9.resman.pl,178754588,edukacja@erzeszow.pl,https://bip.erzeszow.pl,690581353,,1131744,6300,123135,13@mail.pl,https://sp9rzeszow.edupage.org/,Andrzej,Benewiat,brak,brak,118,107,225,średnia
14,6498,650108808,0,SZKOŁA PODSTAWOWA NR 15 IM. ADAMA MICKIEWICZA W PRZEMYŚLU,m. Przemyśl,M. Przemyśl,Przemyśl,ul. Wincentego Pola,5,166785576,sp15@um.przemysl.pl,166783142,d.k-bus@um.przemysl.pl,www.przemysl.pl,650900341,,650108808,6498,123136,14@mail.pl,www.sp15.eu,ARTUR,Majka,brak,brak,168,151,319,duża
15,6499,650102600,7951296587,SZKOŁA PODSTAWOWA NR 14 IM. ZJEDNOCZONEJ EUROPY W PRZEMYŚLU,m. Przemyśl,M. Przemyśl,Przemyśl,ul. Pułkownika Marcina Borelowskiego,12,,sp14@um.przemysl.pl,166783142,edukacja.sio@um.przemysl.pl,https://przemysl.pl,650900341,,650102600,6499,123137,15@mail.pl,sp14.pl,Małgorzata,Zięba,brak,brak,174,180,354,duża
16,6500,650103780,7951057397,SZKOŁA PODSTAWOWA NR 11 IM. HENRYKA JORDANA W PRZEMYŚLU,m. Przemyśl,M. Przemyśl,Przemyśl,ul. Władycze,5,166783615,sp11@um.przemysl.pl,166783142,d.k-bus@um.przemysl.pl,www.przemysl.pl,650900341,,650103780,6500,123138,16@mail.pl,www.sp11.przemysl.pl,Beata,Drozd-Ulijasz,brak,brak,131,126,257,duża
17,6503,650105508,7951309597,SZKOŁA PODSTAWOWA NR 6 IM. OJCA ŚWIĘTEGO JANA PAWŁA II W PRZEMYŚLU,m. Przemyśl,M. Przemyśl,Przemyśl,ul. Generała Mieczysława Boruty-Spiechowicza,1,166779500,sp6@um.przemysl.pl,166752145,edukacja@um.przemysl.pl,https://przemysl.pl/7/strona-glowna.html,650900341,,650105508,6503,123139,17@mail.pl,https://sp6przemysl.pl,Halina,Flis,brak,brak,111,137,248,średnia
18,6504,650108790,7951060040,SZKOŁA PODSTAWOWA NR 5 IM. BOHATERÓW WRZEŚNIA W PRZEMYŚLU,m. Przemyśl,M. Przemyśl,Przemyśl,ul. Stanisława Konarskiego,7,166782124,sp5@um.przemysl.pl,166783136,edukacja@um.przemysl.pl,nie posiada,650900341,,650108790,6504,123140,18@mail.pl,www.sp5przemysl.pl,Małgorzata,Duma,brak,brak,86,95,181,średnia
19,6505,650108889,7951135045,SZKOŁA PODSTAWOWA NR 1 IM. HENRYKA SIENKIEWICZA W PRZEMYŚLU,m. Przemyśl,M. Przemyśl,Przemyśl,ul. Henryka Sienkiewicza,3,,sp1@um.przemysl.pl,166752145,edukacja@um.przemysl.pl,nie posiada,650900341,,650108889,6505,123141,19@mail.pl,http://sp1przemysl.pl/,Monika,Grębowiec,brak,brak,91,96,187,średnia
20,6506,650105460,7951047766,SZKOŁA PODSTAWOWA NR 4 IM. KS. JANA TWARDOWSKIEGO W PRZEMYŚLU,m. Przemyśl,M. Przemyśl,Przemyśl,ul. Świętego Jana Nepomucena,10,,sp4@um.przemysl.pl,166786228,edukacja.sio@um.przemysl.pl,nie posiada,650900341,,650105460,6506,123142,20@mail.pl,www.sp4.przemysl.pl,Dorota,Kozieja,brak,brak,181,195,376,duża
